t-api$ sudo docker-compose logs opnsense-api
opnsense-management-api  | 2025-08-13 17:56:38 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:38 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:38 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:39 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:39 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:39 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:39 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:40 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:40 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:40 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:40 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:41 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:41 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:41 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:41 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:42 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:42 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
